Optimizer,Subspace,Opset,HP_Idx,TestAcc1,TestAcc5
sdarts,single_cell,no_skip,4,86.00999992675781,99.47
fairdarts,single_cell,no_skip,1,83.30000004882812,99.3
oles,single_cell,no_skip,1,78.21000006103516,98.78999989013673
sdarts,deep,all_skip,1,74.65999987792969,98.45999993896484
darts,single_cell,no_skip,4,73.46999993896485,98.27999989013672
pcdarts,wide,all_skip,4,91.21999987792968,99.73
oles,deep,regular,1,86.24999992675781,99.4
sdarts,single_cell,all_skip,4,83.92000004882813,99.27
oles,single_cell,all_skip,1,84.93999990234374,99.40000004882812
sdarts,deep,regular,4,87.04999990234376,99.56
darts,single_cell,all_skip,4,86.1300000366211,99.47
sdarts,wide,all_skip,4,90.59999992675782,99.69
darts,wide,all_skip,4,86.65000002441407,99.55
sdarts,single_cell,regular,4,83.25,99.23
pcdarts,wide,no_skip,4,90.95999997558594,99.73
sdarts,wide,no_skip,4,90.44,99.71
darts,single_cell,regular,4,77.69999990234375,98.7
fairdarts,wide,no_skip,1,87.70999986572265,99.55
darts,wide,no_skip,4,90.34999990234375,99.75
darts,deep,regular,1,84.57000001220703,99.38
fairdarts,wide,regular,1,87.40999997558593,99.55000004882812
oles,wide,regular,1,87.73999998779297,99.56
sdarts,wide,regular,3,87.96999993896485,99.67
pcdarts,wide,regular,4,90.05999991455079,99.68
darts,wide,regular,1,87.6,99.52
gdas,single_cell,no_skip,3,85.61999985351562,99.44
drnas,single_cell,regular,3,86.27999992675781,99.39
gdas,deep,no_skip,3,83.25,99.18000004882812
drnas,wide,regular,3,89.23000001220703,99.59000004882812
drnas,single_cell,all_skip,3,87.72,99.5
fairdarts,single_cell,all_skip,3,86.13999985351562,99.47
pcdarts,single_cell,all_skip,3,87.31000004882813,99.57
pcdarts,single_cell,regular,3,88.59999990234375,99.59
fairdarts,single_cell,regular,3,87.90999987792969,99.6
oles,wide,no_skip,3,89.58000004882813,99.63
pcdarts,single_cell,no_skip,3,87.38999996337891,99.64
oles,single_cell,regular,3,82.05999987792968,99.18
fairdarts,deep,regular,3,88.46,99.57000004882812
gdas,single_cell,all_skip,0,84.59999995117188,99.3
gdas,wide,regular,0,87.48000003662109,99.55000004882812
gdas,deep,regular,0,84.25999985351562,99.39
drnas,single_cell,no_skip,0,86.2099999633789,99.51
drnas,wide,no_skip,0,87.77000004882812,99.45
drnas,deep,no_skip,0,81.27000002441406,99.06
drnas,deep,regular,0,84.34999990234375,99.50000004882811
sdarts,single_cell,all_skip,3,82.74999992675781,99.23
sdarts,single_cell,no_skip,3,84.63999998779298,99.36
oles,single_cell,no_skip,0,77.37,98.80000004882812
darts,single_cell,no_skip,3,73.92999989013671,98.37999989013672
sdarts,single_cell,regular,3,82.10999993896485,99.35
darts,single_cell,all_skip,3,85.77999986572266,99.48
oles,single_cell,all_skip,0,84.07000001220703,99.26
darts,single_cell,regular,3,78.34999990234375,98.81999989013671
pcdarts,wide,all_skip,3,90.27999986572266,99.69000004882813
sdarts,wide,no_skip,3,89.46999996337891,99.66
fairdarts,wide,no_skip,0,86.70999993896484,99.53
fairdarts,wide,all_skip,0,85.17000004882813,99.35
darts,wide,no_skip,3,88.9300000366211,99.64
sdarts,wide,all_skip,3,89.55999998779296,99.71
pcdarts,wide,no_skip,3,89.82999990234374,99.61
darts,wide,all_skip,3,85.8699999633789,99.43
darts,wide,regular,0,86.80999987792968,99.59
fairdarts,deep,no_skip,0,76.16999993896485,98.75999989013673
sdarts,deep,no_skip,0,76.42999990234375,98.54
sdarts,wide,regular,2,88.03,99.58000004882813
fairdarts,wide,regular,0,86.53999997558594,99.46
pcdarts,deep,no_skip,0,69.9099999267578,97.6199999267578
oles,wide,regular,0,86.76999989013672,99.52
pcdarts,wide,regular,3,89.15,99.73
darts,deep,all_skip,0,80.23999992675782,98.97
pcdarts,deep,all_skip,0,78.59999993896484,98.91999993896484
oles,deep,all_skip,0,77.19999995117188,98.84000003662108
oles,deep,no_skip,0,78.81999997558594,98.93000004882812
sdarts,deep,all_skip,0,72.60999990234374,98.08999993896484
fairdarts,deep,all_skip,0,76.72999987792969,98.71999989013672
darts,deep,no_skip,0,80.03999987792969,98.98999989013672
sdarts,deep,regular,3,85.55999992675781,99.36999989013673
darts,deep,regular,0,84.43999986572265,99.31000004882812
fairdarts,deep,regular,8,81.33000002441406,99.19000004882813
oles,deep,all_skip,8,76.52999990234375,98.72000004882813
gdas,deep,no_skip,8,74.3399999633789,98.40999993896484
oles,deep,regular,8,84.29999996337891,99.23
fairdarts,wide,all_skip,8,84.07000001220703,99.38000004882812
oles,wide,all_skip,8,85.40999991455078,99.38
gdas,wide,no_skip,8,87.00999992675781,99.6
pcdarts,single_cell,all_skip,8,83.91999995117187,99.29
fairdarts,single_cell,all_skip,8,83.85999985351563,99.29
oles,wide,no_skip,8,85.95999990234375,99.44
drnas,single_cell,all_skip,8,84.11999986572266,99.28
oles,single_cell,all_skip,8,82.95999990234375,99.19000004882813
fairdarts,wide,no_skip,8,85.7899999633789,99.44
fairdarts,wide,regular,8,85.6999999633789,99.45
drnas,wide,regular,8,85.97999991455079,99.48
fairdarts,deep,regular,7,74.59999989013671,98.48000004882812
fairdarts,deep,regular,2,89.03999995117188,99.6
fairdarts,single_cell,regular,8,84.58999985351562,99.26
sdarts,wide,regular,8,84.86999991455077,99.44
pcdarts,single_cell,regular,8,85.27999996337891,99.19000004882813
oles,deep,all_skip,7,70.05000001220704,97.70000003662108
pcdarts,single_cell,no_skip,8,84.48,99.4
drnas,single_cell,regular,8,84.27000004882812,99.28
gdas,deep,no_skip,7,70.19999993896485,97.68999989013672
gdas,deep,no_skip,2,83.3700000366211,99.24999989013672
oles,single_cell,regular,8,79.57000002441406,99.05
gdas,single_cell,no_skip,8,82.76999989013672,99.15
pcdarts,deep,regular,2,87.47999993896484,99.56999989013671
oles,deep,regular,7,83.07999998779297,99.21
oles,single_cell,no_skip,8,77.03999993896484,98.52999993896483
pcdarts,wide,all_skip,2,90.4100000366211,99.7
fairdarts,wide,all_skip,7,82.3200000366211,99.23
sdarts,wide,all_skip,2,89.48999993896484,99.68
oles,wide,all_skip,7,84.07,99.28
gdas,wide,no_skip,7,85.71999985351563,99.49000004882812
sdarts,deep,regular,2,85.26999995117187,99.36000004882813
oles,wide,all_skip,2,89.40999996337891,99.63
pcdarts,wide,no_skip,2,90.12,99.71
pcdarts,single_cell,all_skip,7,81.9600000366211,99.2
drnas,single_cell,all_skip,7,82.0699999633789,99.16
fairdarts,single_cell,all_skip,7,81.65000004882812,99.16
oles,wide,no_skip,7,84.13999987792968,99.35
fairdarts,single_cell,all_skip,2,87.03000003662109,99.53
drnas,single_cell,all_skip,2,87.34000003662109,99.58
pcdarts,single_cell,all_skip,2,87.22000002441406,99.54
oles,single_cell,all_skip,7,81.08999997558594,99.10999989013672
oles,wide,no_skip,2,89.8499999633789,99.63
darts,wide,all_skip,2,85.81999991455078,99.4
fairdarts,wide,no_skip,7,84.60999997558594,99.27
fairdarts,wide,regular,7,84.13999996337891,99.4
sdarts,wide,no_skip,2,89.56000004882813,99.7
drnas,wide,regular,7,84.50999990234375,99.27
darts,wide,no_skip,2,89.84000001220703,99.66
pcdarts,wide,regular,2,89.67999985351562,99.64
sdarts,wide,regular,7,83.54000002441406,99.24
fairdarts,single_cell,regular,7,83.21999993896485,99.19000004882813
drnas,wide,regular,2,90.13999991455078,99.71000004882812
pcdarts,single_cell,regular,7,83.55999985351562,99.15
sdarts,single_cell,all_skip,2,83.78999985351562,99.24
pcdarts,single_cell,regular,2,88.45999998779297,99.61
fairdarts,single_cell,regular,2,87.53999989013671,99.58
darts,single_cell,all_skip,2,85.8200000366211,99.43
pcdarts,single_cell,no_skip,7,82.79999998779297,99.25000004882811
drnas,single_cell,regular,7,82.4099999267578,99.09
pcdarts,single_cell,no_skip,2,87.50999997558594,99.52
drnas,single_cell,regular,2,86.72000001220704,99.48
oles,single_cell,regular,7,78.44999991455079,98.96
gdas,single_cell,no_skip,7,81.35999996337891,99.08
oles,single_cell,regular,2,82.73999992675782,99.25
gdas,single_cell,no_skip,2,85.18999996337891,99.41
sdarts,single_cell,no_skip,2,84.60000002441406,99.41
darts,single_cell,regular,2,77.30999989013672,98.63999989013672
oles,single_cell,no_skip,7,75.84999998779297,98.40999998779296
sdarts,single_cell,regular,2,82.30000004882812,99.1
darts,single_cell,no_skip,2,72.50999995117188,98.26999989013672
fairdarts,deep,regular,6,72.92999997558594,98.24999989013672
fairdarts,deep,regular,1,84.5599999633789,99.45000004882812
oles,deep,all_skip,6,70.10000006103516,97.87999993896484
gdas,deep,no_skip,6,68.68000002441406,97.78999993896484
gdas,deep,no_skip,1,79.41999996337891,98.77
oles,deep,regular,6,82.02,99.08000004882813
pcdarts,deep,regular,1,83.57000001220703,99.19000004882813
fairdarts,wide,all_skip,6,82.02,99.16
oles,wide,all_skip,6,83.19999990234375,99.28
pcdarts,wide,all_skip,1,88.39999995117188,99.62
sdarts,wide,all_skip,1,87.64999998779297,99.54
gdas,wide,no_skip,6,85.29999996337891,99.36
sdarts,deep,regular,1,83.44999989013672,99.35000004882812
pcdarts,single_cell,all_skip,6,81.57,99.21
drnas,single_cell,all_skip,6,81.34000001220703,99.16
oles,wide,all_skip,1,87.90999990234376,99.49
pcdarts,wide,no_skip,1,88.22999993896484,99.62
oles,wide,no_skip,6,84.02999990234375,99.35
fairdarts,single_cell,all_skip,6,80.36000004882813,99.01
oles,single_cell,all_skip,6,80.91999990234375,99.04999989013672
drnas,single_cell,all_skip,1,85.53999985351562,99.33
